citation_key,relevance,main_contribution,DT_definition,DT_advantages,application_domain,application_scenario,DT_location,relevant_asset,data_type,communication_type,integration_level,used_protocols,used_tools,operation_mode,DT_generator,framework,challenges
Laaki2019,MEDIUM,We developed a novel DT prototype to analyze the requirementsof communication in a mission-critical application such as mobile networks supported remote surgery.,DT is argued to consist of three parts: physicalThe associate editor coordinating the review of this manuscript andapproving it for publication was Okyay Kaynakproduct digital product and the linkage between the physicaland digital products  DT enables real time communicationwith the physical twin in both directions Interested entitiessuch as processes or systems can read data from the physicalproduct via a DT analyze the data and execute simulations,"We developed a novel prototype system to investigate whatkind of communication link is required in a mission criticalapplication. As a case application, we chose the specic taskof remote surgery. Such operations require near zero latencyand high levels of security and reliability [5] and therefore area perfect subject for analysis in the context of DTs involvedin achieving the required features and functionality",Smart Healthcare,"predictive maintenance, countermeasures",N/A,system (The system comprised of a robotic arm andHTC vive virtual reality (VR) system connected over a 4G mobile network),"CAD model les, sales documentation and measurementdata,","DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,"TCP, UDP",OpenVR,"simulation, analysis",N/A,YES,"The development of this prototype system made uspainfully aware of the fact that this sort of combination ofdifferent engineering elds in novel applications providesplenty of complexity in the development work. Engineers anddesigners in the elds of robotics, mechatronics, computersciences, network development and game development eachexploit their own tools and methods that are built with theirown demands. This is a major obstacle in the realization ofthe Industry 4.0 and similar concepts and requires research and consideration in our increasingly cross-disciplinaryworld."
Lei2021,MEDIUM,Thispaper introduces the methodologies and techniques towards aweb-based digital twin thermal power plant.,As an exact cyber copy ofa physical system that can represent all the functionalities adigital twin which is a transformative technology has expandedthe CPSs in which digital twin is the computation module andcan even visualize physical processes,"Due to the fact that a thermal power plant is such a huge,complex, and critical infrastructure, and it is impossible toshut down a power plant for a closer look and understanding,a digital twin thermal power plant is a feasible solution for thestudy of thermal power plants, which can provide visualized information, interactive operations and ensure the security ofequipment and the safety of humans.",Thermal Power Plant,"security analysis, fault diagnosis, fault prediction",N/A,thermal power plant,real time data,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulation, monitoring, analysis","Adigital twin can be decoupled as the three-dimensional (3D)model, the mathematical model, and the rule model, wherethe 3D model looks exactly like the physical system with 3Dmodeling technologies, the mathematical model is related tothe mechanisms, kinetics and data of the physical system, andrule model defines interactions from users and motion controlof a digital twin and the corresponding physical system.",YES,"There are remained issues such as cyber attacks and communicationconstraints in the web-based digital twin thermalpower plants, which can potentially be addressed using approachesintroduced in networked control systems.In the future, for such a huge and complicated system, multidisciplineand inter-discipline collaboration is required for afully functional digital twin thermal power plant."
Liu2021,MEDIUM,"Thispaper conducts a comprehensive and in-depth review of these literatures to analyze digital twin from the perspectiveof concepts, technologies, and industrial applications.",digital equivalent to a physical product,"With the development of new-generation information and digitalizationtechnologies, more data can be collected (during system run-time), and it is time to find a way for the deep application of all these data. Asa result, the concept of digital twin has aroused much concern and is developing rapidly",Generic,"predictive maintenance, fault detection, fault diagnosis, monitoring",N/A,"smart factory, rocket motor, human-robot, manufacturing assets, product","real time data, historical data, sensor data",DIGITAL_PHYSICAL,"digital twin, digital shadow",N/A,N/A,"simulation, replication, monitoring, analysis",N/A,NO,N/A
LlopisSanchez2020,LOW,"The focus of this article is to describe the rapid changing nature of space systemswhere the electromagnetic spectrum and cybersecurity aspects coexist, leading toa change of course to ensure secure space communications. The authors provide an analysis of the functionalcapabilities and services of a cybersecurity space operations center",A digital twin is a virtualrepresentation of a system that has been loaded with the real world inputs andenvironmental parameters that were acquired on the real world system so that itcan be used to accurately simulate the real world systems behavior,"Finally, the ultimate goal is to create a digital twinof the systems that the trainees are being trained for.",Aerospace,training,N/A,system (Space operation center),real-world inputs andenvironmental parameters,DIGITAL_PHYSICAL,N/A,N/A,N/A,"simulation, replication",N/A,N/A,N/A
Locklin2020,MEDIUM,This paper presents the results of the literature review of approaches that use DigitalTwins for verification and validation purposes,Digital Twin is a digital replica of a physical systemand able to mirror its static and dynamic characteristics,"Central, asset-individual storage of up-to-date modelshelps enormously with verification and validation. In addition,the increasing availability of simulations with Digital Twinsopens up new possibilities for checking assumptions inparallel to operation. Therefore, Digital Twins are a promisingnew technology for designing and operating reliable systems",Aerospace,"monitoring, security testing, training, security by design",N/A,"3D printer, ship, parts/ a whole system",data of scenarios ,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulation, analysis",N/A,NO,N/A
Lopez2021,MEDIUM,"This articlestudies how digital twins can evolve their contextawareness capabilities and simulation technologiesto anticipate faults or to detect cyber-securityissues in real time, and update access control policies accordingly.",This can be defined as a representation of a physical asset in virtual spaceenabled by synchronized data acquisition about itsstructure functionality and behavior,"analyzing and simulating virtual states of such an entity, it ispossible to undertake real-time monitoring and predictions,optimize processes, and improve decision making. All in all, they emerge as a forthcomingsolution to guide access control by coordinating all security services within the SG network in a holisticand autonomous manner.",Smart Grid,"anticipate faults, detect cyber-security issues,  access control",N/A,smart grid,"sensor data, real time data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",digital twin,N/A,N/A,simulation,N/A,NO,"Ahead liesan arduous path that involves various efforts interms of standardization and information security,in conjunction with deep research into machine learning specifically applied to critical infrastructuresand smart cities."
Luan2021,LOW,"In this article, we describe the basic DTcommunication models and present the open research issues. Bycombining wireless communications, artificial intelligence (AI)and cloud computing, we show that the DT communicationprovides a novel framework for futuristic mobile agent systems.",The DT builds a mirror integratedmulti physics of the physical system in the digital space,"DT can utilize the rich computing power andAI at the cloud to operate on the mirror physical system, andaccordingly provides feedbacks to help the real-world physicalsystem in their practical task completion.",Smart Manufacturing,"simulation, attack prediction, countermeasures","cloud, edge",physical entity,real-time data,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulation, replication, ",N/A,NO,N/A
Madni2021,LOW,"This paper introduces the concept of a MBSE testbed to organize and manage MBSE artifacts, supportMBSE experimentation with different models, algorithms, and data, and catalogue the casestudies and lessons learned.",N/A,digital twins can enhance system verification and validation activities,Smart Manufacturing,"system verification, system validation",N/A,physical systems,N/A,N/A,digital twin,N/A,MBSE testbed,"simulation, replication","Just as importantly, the MBSE testbedconstruct provides a modeling, simulation, and integration environment for developingand evaluating digital twins [5].",NO,"Future directions include the creation of formal ontologies and metamodel [24] toguide systems integration, human–systems integration [26,27], adversarial modeling, introductionof digital twins at the system, and subsystem levels [5], reinforcement learningtechniques to cope with partial observability and uncertainty [17], support for distributedsimulation standards (i.e., IEEE 1278.2-2015), and ontology-enabled reuse [28,29] andinteroperability [30]."
MailletContoz2020,MEDIUM,"This paper presents an approach tofacilitate the integration, verification and then the functionalvalidation of the security into devices based on modeling andsimulation.",N/A,"reduce design and validation times,increase the quality of design, ensure better performances ofthe overall system and finally facilitate the scale up of thenumber of end-devices, by using the digital twin concept",Smart Manufacturing,"security testing, security validation",N/A,IoT devices,N/A,DIGITAL_PHYSICAL,digital twin,N/A,N/A,N/A,N/A,N/A,N/A
Martins2020,LOW,This article focus on dealing with Cybersecurity from an ontological perspective.,N/A,"provide statistical methods, data analytics by using machine learningtechniques over a simulation environment",Smart Manufacturing,"security analysis, attack detection",N/A,N/A,N/A,N/A,N/A,N/A,N/A,Machin learing alg.,N/A,N/A,"We are aware that the search string is very limited,but it is enough to look for the particularities of ontologies, like those presentedby Leslie Sikos [44]. Therefore, we know the necessity of new further steps onrefining the used terminology"
Mills2021,LOW,"In this paper, we conduct an investigation of anti-evasion malwaretriggers for uncovering malware that may attempt to conceal itself when deployed in a traditionalsandbox environment.",N/A,"With a digital twin, one could model the system characteristics that they wish to protect, rather thanspeculating on the system characteristics that the malware will execute against.",Smart Manufacturing,"attack testing, malware detection, malware analysis",N/A,procduction system,N/A,N/A,N/A,N/A,N/A,replication,N/A,N/A,"Future work will extend MORRIGU and our curated dataset to explore further evasionstrategies, including how bespoke simulated networking access (e.g., INetSim) could be incorporate foranti-evasion detection beyond catch-all and block-all rules, and also studying patterns and trends inmalware evasive characteristics over time in conjunction with static analysis techniques."
Minerva2020,MEDIUM,"To fully determine the expected properties ofthe Digital Twin, this paper surveys the state of the art startingfrom the original definition within the manufacturing industry. One of the goals of this paper is to identify and emphasizethe key features of the DT concept in order to make it a generalconcept applicable in the IoT realm",a Digital Twin is a comprehensive softwarerepresentation of an individual physical object It includes theproperties conditions and behavior(s) of the real life objectthrough models and data A Digital Twin is a set of realisticmodels that can simulate an objects behavior in the deployedenvironment The Digital Twin represents and reflects itsphysical twin and remains its virtual counterpart across theobjects entire lifecycle,The Digital Twin implementations in this sector should guarantee an extremelyhigh level of protection for the personal data,Smart Manufacturing,"security testing, countermeasures, security analysis, monitoring, attack detection, attack prevention","edge, cloud",individual physical object,"historical data, ",DIGITAL_PHYSICAL,"digital twin, digital shadow",MQTT,N/A,"monitoring, simulation, replication, analysis","the implementation of a Digital Twin infrastructure requires theidentification, design and implementation of a rich softwarearchitecture in order to fulfill the requirements and support theexpected properties.",YES,"It is difficult to predict the future of the Digital Twin concept;however, it is a concept that is already having a significantimpact in the manufacturing industry and in IoT, and it has thepossibility to have a very large impact on the lives of manypeople in the future."
Mittal2019,MEDIUM,This paper will present a digital twin engineering methodology as applicable to IoT deviceT&E and cyber experimentation.,A digital twin is a digital replica of a living or non living physical entity that co evolves with the entity,"DT utilize systems engineering artifacts and enrich them to makethem executable digital twins that can represent the systems in a valid representation of their operationalenvironment, allowing for the dynamic evaluation of system behavior in the context of its portfolio.",Generic,"attack testing, attack evaluation",N/A,IoT device,N/A,"DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,MQTT,N/A,"simulation, replication, ",N/A,NO,N/A
Morales2020,LOW,This work presents lessons learned from a multi-year support effortof a large and well-funded software development project.,Digital Twin is traditionally thought of as a digital representation or virtualized prototype of a physical system,the Digital Twin concept is alsouseful for testing large software systems,Organization,"security testing, security analysis",N/A,physical system,N/A,N/A,N/A,N/A,N/A,replication,N/A,N/A,Future work will focus onextending and detailing sub-optimal implementations of DSO andtheir realized and potential impacts of software development.
Moro2021,MEDIUM,"This paper describes the Constrained Devices Management Platform, a BT research system designed to enhance the security of IoT systems, with an especial focus on data provenance, immutability, and integrity.",Digital Twinning can be described as a method for turning physical devices into digital services,"DTs provide four main advantages to support cybersecurity applications at a networking level: Simulation environment, Data sharing across siloes, Real-time operations management, Availability and reliability",Communication,N/A,cloud,physical assets,real-time data (sensor data),DIGITAL_PHYSICAL,digital twin,N/A,"CDMP, Eclipse Ditto",simulation,N/A,NO,"The next steps for the CDMP development include customer trials scheduled to start in May 2021. The DMP will incorporate the systems of the ongoing project i-Trace2, and Innovate UK project with Costain, C?sco, the University of Warwick, and Senseon. i-Trace is an end-to-end cybersecurity solution using DT, blockchain, and artificial intelligence to provide a resilient security framework to IoT devices."
Mullet2021,MEDIUM,This paper introduces step-by-step the concepts and practical aspects of an Industry 4.0 manufacturingfactory that are related to cybersecurity.,The standard denition of digital twins is that they are virtualreplicas of physical objects which make it possible tomonitor visualize and predict the states of cyber physicalsystems,N/A (Presentation of Use Cases),Smart Manufacturing,"security by design, intrusion detection, detection of hardware misconfigurations, detection of software misconfigurations, security testing, privacy, system testing, training, secure decommissioning, security compliance, legal compliance",cloud,CPS,real-time and historical data,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulation replication, ","To design more secure CPS, the idea is to use digitaltwins in combination with a virtual environment in orderto analyze how the system behaves under attacks.",NO,N/A
Murillo2020a,HIGH,"In thiswork,we propose the Digital HydrAuLic SIMulator (DHALSIM),a Digital Twin for water distribution systems that simulatesphysical, control, and network processes. DHALSIM builds on theintegration of the Water Network Tool for Resilience (WNTR) hydraulicsimulator and MiniCPS—an industrial network emulator—which are run in a co-simulation environment.",Digital Twins are virtual replicas of CPS which are built to studyand optimize design deployment maintenance and upgrading operations,"CPS have three main components: i) A physicalsystem or process, ii) industrial control equipment monitoring andcontrolling such process, iii) an industrial control network interconnectingthat equipment. Digital Twins can model these maincomponents with varying levels of fidelity depending on the specificpurpose and application.",Water Distribution Systems,"attack simulation, attack detection, attack evalutation",N/A,CPS,physical and network data,DIGITAL_PHYSICAL,digital twin,"AML, SQLite","DHALSIM, WNTR, MiniCPS","simulation, replication, analysis, monitoring",N/A,NO,"DHALSIM has a few limitations that are inherited from WNTR,MiniCPS, and the co-simulation environment we created. In thefirst place, WNTR provides limited water quality analysis capabilities,meaning that we cannot (at this stage) thoroughly simulate theimpact of cyber-physical attacks on water quality processes. In the near future, we plan to take three research directions.First, develop a module that imports EPANET / WNTR files to buildautomatically the Mininet topology and ICS equipment scripts. Second,harness the data generated by DHALSIM to develop off-lineand on-line intrusion detection and localization algorithms. Third,adapt DHALSIM to be used as a Digital Twin that replicates thesystem state of existing physical testbeds, such as WADI, iTrust’swater distribution testbed [1]. This would include developing functionalitiesfor acquiring data and controlling the testbed in realtime."
Neethirajan2021,LOW,"Our goal in this review is to assess the progress toward the use of digital twintechnology in livestock farming, with the goal of revolutionizing animal husbandry in the future.",digital twins are realistic virtual representations of a physical entity,"The application of digital twins within thelivestock farming sector is the next frontier and has the potential to be used to improve large-scaleprecision livestock farming practices, machinery and equipment usage, and the health and well-beingof a wide variety of farm animals.",Smart Farming,N/A,N/A,"pigsty, animals (e.g. cows)","real-time data, sensor data","DIGITAL_EXPERT, DIGITAL_PHYSICAL",digital twin,N/A,N/A,"simulation, replication, analysis, decision making",N/A,NO,"There is a need for more evidence,facts, and case studies of this digital twin technology to encourage widespread adoptionamong livestock farmers."
OlivaresRojas2021,MEDIUM,This work shows a small implementation of a digital twin system for smart metering systems in a smart homeenvironment for testing cybersecurity issues,Digital Twins (DT) has emerged that allows the interaction between physicaland virtual objects considering a virtual object as areplica of the physical object allowing both to interactas if it were one,"With the modeling of systems through DT, significant benefits can be obtained in all areas andparticularly in the SG, and the SMS is no exception, allowing saving costs and improving decision-makingprocesses.",Smart Grid,"security testing, security evaluation",N/A,devices in a smart grid (smart home),sensor data/ historical sensor data,DIGITAL_PHYSICAL,digital twin,JSON,N/A,"replication, simulation, ",We develop a DT Framework mainly composed ofa DT Controller. ,YES,"As future works, it is intended to build a DTdisplay and controller system with a Graphical UserInterface (GUI) as well as expand the catalog ofphysical objects within SH."
Pokhrel2020,HIGH,"In this paper, we summarize the definition of digital twin and state-of-the-art on thedevelopment of digital twin including reported work on theusability of a digital twin for cybersecurity.",A digital twin is a replica model residing in a virtual environment that includeseverything that is known about an object,N/A,Smart Manufacturing,"Intrusion detection, anomaly detection, fault detection, monitoring, simulation","cloud, embedded","system, process ","sensor data, historical data, real-time data",DIGITAL_PHYSICAL,"digital twin, digital shadow",N/A,N/A,"simulation, analysis, replication, monitoring, predection",N/A,NO,Our future work will focus on the development ofdigital twin approaches for cybersecurity incident prediction. Wewill build our approach based on the existing methods and toolsidentified through the MLR.
Pushpa2020,LOW,"In this chapter, Methodologies for leveraging the Digital Twin using Fog/Edge computingwill be discussed with the suitable use case such as Wind Turbine, ProductManagement, Healthcare center and so on",Digital Twin can be defined as virtual device or monitoring device of physical entity whichcan be adopted by all factors in the world,The digital twin technology is to empower edge/fog devices to beintelligent in their actions and reactions.,Smart Manufacturing,"anomaly detection, failure forecasting, fault detection","edge, cloud",physical devices,Real-time data processing,DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulate, analysis",N/A,NO,"As the future beckons for edge/fogclouds for realizing and running real-time and insights-driven applicationsand services, the role and responsibility of having and using digital twinsfor all the participating physical twins are bound to go up in the days tocome. Further on, the analytical capabilities of both physical and digitaltwins come handy in making edge/fog devices (physical twins) adaptive,adjustive and autonomous."
Raj2021a,LOW,This chapter is to explain how they integrate and initiate newer opportunities to be grabbed andgained for a better tomorrow.,digital twins are the digital versions of physical objects,Digital twins collect value-adding data from theircorresponding physical twins continuously and crunch them in order toemit out useable insights out of data heaps.,Smart Manufacturing,"performance, health condition, security analysis",N/A,"different assests/objects (machines, an aerosol drug, Cambridge, a product, patient’s heart)","various real-world data, sensor data, historical data","DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,N/A,N/A,"simulation, replication, ",N/A,NO,"Thus, with the cool synchronization withblockchain, the digital twin domain is to flourish in the years to come."
Ranjbar2020,LOW,The objective of the presented paper is to define the framework for a digital twin of the Canal of Calais.,A digital Twin aims to faithfully reproduce the dynamics of a canal,"A complete Digital Twin (DT) would cover whole the procedure from the beginning of a rawwater until it reaches the users such that, it observes the whole water cycle",Water Distribution Systems,anomaly detection,N/A,hydrographical network,data collected from SCADA,"DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,N/A,"SCADA, Matlab",simulation,"ThedesignoftheDTrequiressomesteps:a)hydraulicmodelofthehydrographicalsystems,b)identificationofthedynamicsofthecontrolleddevicesandc)calibrationofthehydraulicmodel.",YES,"Futureworkswillconsistinimprovingthemodelsoftheoutletgates and thanks to the DT, it is now possible to test the advanced control and optimization algorithms such asmodel predictive controller."
Rasheed2020a,LOW,"In this work, we review the recent status of methodologies and techniques related to the construction of digital twinsmostly from a modeling perspective. Our aim is to provide a detailed coverage of the current challenges andenabling technologies along with recommendations and reections for various stakeholders.",Digital twin can be dened as a virtual representation of a physical asset enabled throughdata and simulators for real time prediction optimization monitoring controlling and improved decisionmaking,Digital twinning is now an important and emerging trend in many applications,Smart Manufacturing,"security analysis, fault detection, monitoring","cloud, edge","different assests/objects (offshore oil platform, human body, education sector, district heating and cooling network, etc.)","real-time (sensor) data, historical data",DIGITAL_PHYSICAL,digital twin,N/A,N/A,"simulation, analysis, monitoring, detection, ",N/A,NO,"While the denition of a digital twin is unambiguous,what is not a digital twin is a difcult question to answer.There is a need to quantify the degree to which a digital twinresembles its physical counterpart both in terms of appearanceand behaviour."
Rathore2021,MEDIUM,"Therefore, this article emphasizes the role of big data and AI-ML in the creation of digitaltwins (DTs) or DT-based systems for various industrial applications, by highlighting the current state-ofthe-art deployments.",Digital twinning is a process that involves the creation of avirtual model (ie a twin) of any physical object in orderto streamline optimize and maintain the underlying physicalprocess,digital twinning by collecting real-time data from the physical world andsharing it with the digital world,Smart Manufacturing,"threat detection, countermeasures, anomaly detection, best process strategy, best resource allocation, safety detection, fault detection)","cloud, edge",different assests/objects,"historical and real-time data, for different industries","DIGITAL_EXPERT, DIGITAL_PHYSICAL",digital twin,N/A,"Open Simulation Platform, FIWARE, Predix, IndraMotionMTX, Beacon, Thingworx, TwinCat, SAP,Codesys, CNC tools, Aspera,  RaySync, ANSYS Twin Builder, MWorks, Siemens NXsoftware, SolidWorks, Autodesk tools, FreeCAD","monitring, simulation, analysis","The data is fed to the data analysisand decision-making layer, where AI models, statisticaland probabilistic approaches, or mathematical models areemployed to create the DT-based system or the digital twin itself.",NO,"The rapidly increasing DT popularity and scope, as well as theinvolvement of IoT, big data, and AI technologies, broadenthe research challenges of digital twinning. These challengesare categorized in the following five areas: data collection, big data challenges, data analysis, dt standardization challenges, security and privacy issues"
Raybourn2018,HIGH,"The present chapter describes how improved modeling and simulation will increase situational awarenessby blurring the lines among the use of tools for analysis, rehearsal, andtraining—especially when coupled with immersive interaction experiences offeredby augmented reality",a virtual digital equivalent to a physical product,"Physical security system designers can take advantage of a twin collecting data and learning over time to check proposed design changes, anda vulnerability analyst can use that same data to identify possible threats and a site's readiness to handlethem",Generic,security evaluation,N/A,physical security systems,"historical and real-time data, sensor data",DIGITAL_PHYSICAL,digital twin,N/A,"Dante, MILES","analysis, simulation","Accurate facility modeling and terrain development are needed for security simulationsin general and to implement a digital twin. Data feeds must be added to reflectthe current situation on the ground along with adding predictive capabilities to thisadaptive model. The site’s digital twin needs sufficient data updates by variousmeans (e.g., sensor input, updates from responders) to stay synchronized withphysical counterparts, and support response force decisions with real-time status.Secure facilities usually have a variety of sensors including cameras, fence linesensors, and radars that can update the digital twin in real time, and this informationcan be made immediately available to the entire response force.",NO,"While the addition of digital twin technology could greatly enhance cyber-physicalsecurity systems, it may also present significant challenges for physical securitysystems and personnel.For example, a survey of different-sized companies found that many organizationsare not prepared for modern technical challenges. Digital twins present uniquemodern, socio-technical challenges; "
Reis2020,LOW,This work proposes a hybrid approach thatorchestrates unsupervised and incremental learning methods to detect threatsthat impact the control loops in a plant. We use online data processing to identifynew attack vectors.,N/A,N/A,Generic,honeypot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Riegler2021,LOW,"In this paper, we propose the design of resilient systems based on multi-modal architectures with several operational modes.",N/A,"Other than the use of different modes in digital twins [3] to detect, simulate and analyze attacks, as of our knowledge, there is no application of different modes inthe security context of IACSs.",Smart Manufacturing,"attack detection, attack simulation, attack analysis",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Our futurework includes systematic analysis and evaluation of mode switching protocols and an investigation of how to applythem to security, especially in the context of IACSs. First findings of a systematic literature review on mode switchingfrom a security perspective are presented in [20]. In addition, we plan a prototypical implementation for furtherevaluation and to demonstrate the effectiveness of mode switching for increased security."
Rubio2019,LOW,"this article will firstly study the spectrum of attack vectors that APTs can use against existing and novel elements of an industrial ecosystem. Afterwards, this article will provide an analysis of the evolu- tion and applicability of Intrusion Detection Systems (IDS) that have been proposed in both the industry and academia.",twins(virtual representations of subsystems,N/A,Smart Manufacturing,"anomaly detection, simulation",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"There are still various areas that need of further research, such as the applica- bility and integration of proactive defense mechanisms, the inte- gration of defense mechanisms into IIoT and cloud computing de- ployments, and the advent of the Industry 4.0. Moreover, regarding APTs, it is imperative to (i) incorporate the knowledge of existing APTs and APT stages into the validation of defense mechanisms, and (ii) facilitate the integrability and usability of these defense mechanisms, so they can be easily included in more critical infras- tructures."
Saad2020,HIGH,This paper provides an IoT-based digital twin (DT) of the cyberphysicalsystem that interacts with the control system to ensureits proper operation.,The DT is defined as digital replica/model that includes thelast information matching a thing,"In this paper, an IoT-based digital twin (DT) for the cyberphysicalnetworked microgrids is introduced to enhance theresiliency against cyber attacks. The cloud-based DT platformis implemented to be a centric oversight for the NMG system",Smart Manufacturing,intrusion detection,cloud,cyberphysical networked microgrids,N/A,DIGITAL_PHYSICAL,digital twin,"MQTT, JSON",AWS,"replication, analysis, detection, monitoring","cloud-based DT platform is implemented to be a centric oversight for the NMG system.The cloud system hosts the controllers (cyber things) and thesensors (physical things) into the cloud IoT core in terms ofthe IoT shadow. The proposed DT covers the digital replicafor both the physical layer, cyber layers and their hybridinteractions.",YES,"Future research of this work willconsider the fusion of deep learning and LO to enhance thespeed, accuracy and predictability of the attacks."
Saad2020ab,LOW,This paper provides a methodology for the modelling of theimplementation of energy cyber-physical systems (ECPSs) that can be used for multiple applications.Two DT types are introduced to cover the high-bandwidth and the low-bandwidth applicationsthat need centric oversight decision making.,A digital twin can be defined as a digital replica/model that includes the last information matchinga thing,"there is a need for a conceptual framework that can monitor, collect, harness and interactwith the physical components to ensure their optimal operation. The digital twin (DT) concept arisesas a promising solution that can provide such a framework and unleash many opportunities and gainsthat are associated with the flow of data and real-time interaction.",Smart Manufacturing,"monitoring, attack detection",cloud,physical and cyber layers of the networked microgrids,"historical and real-time data, sensor data",DIGITAL_PHYSICAL,digital twin,"JSON, MQTT","Amazon Web Services, MATLAB Simulink","monitoring, analysis",N/A,YES,"The authors are currently developing a combination of deep learning and the DT to implement a wide-area situational awareness system by consideringthe stability, reliability and resiliency of the globally interconnected power system."
Sahal2021,LOW,This paper presents a conceptual framework for digital twins collaborationto provide an auto-detection of erratic operational data by utilizing operational data intelligencein the manufacturing systems.,Based on literature research we adopt the definition that the DT is an exact digital replica ofsomething in the physical world,"The DTs’ advantages in Industry 4.0 include improving data security and quality, reducingcost, and making faster decision-making",Smart Grid,"anomaly detection, data security",edge,production system (CPPS),"semantic models and operational data (i.e., failure and erroneous data).","DIGITAL_PHYSICAL, DIGITAL_TWIN",digital twin,"JSON, XML",N/A,"simulation, analysis, prediction",the development of DT needs threecomponents: (1) an information model that abstracts the specifications of a physical object;(2) a communication mechanism that transfers bi-directional data between a DT and itsphysical counterpart; and (3) a data processing module that can extract information fromheterogeneous multi-source data to construct the live representation of a physical object,YES,"semantic capabilities (e.g., knowledge graphs) could be explored to represent complex cyber-physical production systems; Some semantic work could be done to describe the relationshipsbetween the DTs models using model-to-model, e.g., OOP, RDF, and OWL in the complex DT systems heterogeneous DTs types; For flexibility and productivity, DTs should be used to balance and increase processing during work; Furthermore, blockchain technology could be combined with DTs collaboration toguarantee transparency, decentralized data storage, data sharing, peer-to-peer communication,secure and trusted traceability, and scalability."
Semenkov2020,LOW,The paper deals with the problem of the design of digital twins of cyberphysical systems of an Industry 4.0 concept.,A digital twin is an exact virtual copy of acyberphysical system,One of the promising functions of digital twins is the development of methods of cyberdefense and verification of thesystem’s resistance to cyber threats,Smart Manufacturing,"attack prevention, attack detection, countermeasures",cloud,CPS,real-time dataabout the physical system and provide guidance in real-time.,DIGITAL_PHYSICAL,digital shadow,NTP,ULCS,simulation,The design and deployment of digital twins of cyberphysicalsystems is an essential and expanding technology,NO,N/A
Semenkov2021 ,LOW,The work reviews and summarizes properties of models concerning the digitaland physical components of a cyberphysical system (CPS).,A digital twin is a virtual representation of a deviceor a group of devices that resides on a cloud or edge node It can be used to representreal world devices which may not be continuously online or to run simulations of newapplications and services before they get deployed to the real devices,One of the promising functions of digital twins is developing cyber defense methodsand testing the system’s resistance to cyber threats,Smart Manufacturing,"attack prevention, attack detection, countermeasures",cloud,CPS,"real-world data, simulation or machinelearning models, combined with data analysis",DIGITAL_PHYSICAL,digital twin,NTP,N/A,"simulation, analysis",initially designed as a system of nested containers. Every container serves as a framework for lower-level components and puts some additional constraint from upper-level requirements onto the container elements,YES,"We plan to continue workingwith the digital twin at other stages of the ULCS lifecycle. The main focus will be on improvingthe synchronization mechanisms of the digital twin and the real system, increasingthe accuracy of the models, first of all, in dynamical and temporal characteristics, and thedevelopment of techniques that allow diagnostics and prognostics of the behavior of a realsystem on a digital twin."
Shah2021,LOW,The primary goal of this paper is to arrive at a suit-able framework to construct DTs using open-source soft-ware programs.,N/A,A DT framework effortlessly allows for data communication andintegration between a physical system and a digital sys-tem in either direction.,Smart Manufacturing,"failure prediction, failure prevention",N/A,portable table-top sized temperature-controlled system,real-time data,DIGITAL_PHYSICAL,digital twin,N/A,"Robotic Process Automation, PLC, Eclipse Ditto",Simulation,"In order to successfully establish a DT environment, realtime decision-making along with rapid analysis is an impor-tant requirement.",YES,"Some of the limitations are as follows:a) The OpenFOAM solver only takes in one input andcomputes one output before it is ready to take anotherinput. We require the solver to take in multiple valuesand compute output in real time. Therefore, the PDEsolver built into OpenFOAM is not ecient enough toreduce the overall computation cost.b) In the simulation model, we can only compute onelayer of heat transfer at a time. There is no controlloop built into the SimFlow software that would allowus to run the hot subsystem and cold subsystem si-multaneously. A separate setup is required to executethe same.c) The UI Path Studio only works on windows basedsystem while the Physical model was designed on aLinux based system. This increases the overall com-putation cost of the system as certain additional stepsare required to establish prompt communication be-tween the digital and physical systems."
Shalaginov2019,LOW,The motivation of this contribution is to demonstrate howSmart Applications change the conventional understandingof Computer Forensics,N/A,"The number of surrounding IoT devices and computing nodes is growingto bring a concept of digital twin of homes, companies andenvironments into life. By utilizing all available data, one willbe able to reconstruct exact sequence of events attributed to acrime involving any kind of Smart Applications.",Organization,forensics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
